Position (m);Horiontal SWBM (N.m);Vertical SWBM (N.m);Torsional SWBM (N.m)
-48.12666;0.0;0.0;0.0
-47.34069;2123.65380859375;-304939;-739.94140625
-46.55473;2871.89135742188;-1241597.5;-64.8182983398438
-45.76875;3028.39599609375;-2768682.5;-126.53874206543
-44.98278;3236.92163085938;-4849864;-208.76789855957
-44.19682;3497.548828125;-7448780.5;-311.5029296875
-43.41084;3810.37426757813;-10529087;-434.607391357422
-42.62487;4175.12353515625;-14054389;-578.237243652344
-41.83891;4592.083984375;-17988332;-741.562316894531
-41.05293;5060.67138671875;-22294576;-925.412048339844
-40.26696;5581.0654296875;-26936716;-1130.01440429688
-39.481;6153.53125;-31878404;-1354.56799316406
-38.69502;6777.923828125;-37083304;-1600.18347167969
-37.90905;7454.6962890625;-42515000;-1866.15698242188
-37.12309;8182.65234375;-48137152;-2152.5546875
-36.33711;8963.4677734375;-53881608;-2452.70092773438
-35.55114;9768.904296875;-58271052;-2452.89306640625
-34.76517;10574.1845703125;-62562752;-2452.73315429688
-33.9792;11379.68359375;-66756732;-2453.08447265625
-33.19323;12184.2451171875;-70852944;-2452.8583984375
-32.40726;12989.744140625;-74851416;-2453.1865234375
-31.6213;13795.2587890625;-78752144;-2453.02734375
-30.83533;14599.6328125;-82555144;-2453.01171875
-30.04936;15405.5380859375;-86260384;-2453.19775390625
-29.26339;16209.974609375;-89867896;-2453.19482421875
-28.47742;17016.037109375;-93377664;-2453.2236328125
-27.69145;17821.599609375;-96789680;-2453.166015625
-26.90548;18626.693359375;-100103960;-2453.08813476563
-26.11951;19432.193359375;-103320488;-2453.27490234375
-25.33354;20237.380859375;-106439280;-2453.32788085938
-24.54757;21042.630859375;-109460328;-2453.30395507813
-23.76159;21848.287109375;-112383632;-2453.40502929688
-22.97562;22653.287109375;-115209192;-2453.34985351563
-22.18966;23459.099609375;-117937000;-2453.56762695313
-21.40368;24264.724609375;-120567072;-2453.56665039063
-20.61772;25070.162109375;-123099400;-2453.341796875
-19.83175;25875.474609375;-125533992;-2453.41357421875
-19.04577;26680.287109375;-127870840;-2453.41088867188
-18.25981;27485.849609375;-130109936;-2453.53686523438
-17.47383;28290.349609375;-132251296;-2453.52319335938
-16.68786;29096.044921875;-134294912;-2453.52734375
-15.90189;29901.794921875;-136240784;-2453.51440429688
-15.11592;30706.974609375;-138088912;-2453.63818359375
-14.32995;31512.287109375;-139839280;-2453.60717773438
-13.54399;32317.193359375;-141491920;-2453.39233398438
-12.75801;33122.75390625;-143046816;-2453.42553710938
-11.97204;33927.69140625;-144503984;-2453.37158203125
-11.18608;34733.25390625;-145863392;-2453.52319335938
-10.4001;35538.51953125;-147125056;-2453.51025390625
-9.61413;36343.39453125;-148288992;-2453.47021484375
-8.82817;37148.83203125;-149355168;-2453.19604492188
-8.04219;37953.95703125;-150323600;-2453.17260742188
-7.25622;38759.83203125;-151194288;-2453.38745117188
-6.47025;39565.26953125;-151967248;-2453.35864257813
-5.68428;40369.76953125;-152642464;-2453.2080078125
-4.89831;41175.14453125;-153219936;-2453.18090820313
-4.11234;41980.08203125;-153699664;-2453.3671875
-3.32637;42785.70703125;-154081632;-2453.34594726563
-2.5404;43591.45703125;-154365872;-2453.19506835938
-1.75443;44396.70703125;-154552368;-2453.052734375
-0.96846;45202.45703125;-154641120;-2453.01440429688
-0.18249;46008.76953125;-154632128;-2453.25122070313
0.60348;46813.58203125;-154525392;-2453.08178710938
1.38945;47619.08203125;-154320912;-2453.04931640625
2.17542;48424.33203125;-154018688;-2452.92797851563
2.96139;49230.08984375;-153618720;-2452.83178710938
3.74736;50036.08984375;-153121008;-2453.13208007813
4.53333;50841.23046875;-152525552;-2452.9609375
5.3193;51646.35546875;-151832352;-2452.9287109375
6.10527;52451.27734375;-151041408;-2452.84912109375
6.89124;53256.21484375;-150152720;-2452.75146484375
7.67721;54062.02734375;-149166272;-2452.97998046875
8.46318;54867.96484375;-148082080;-2452.83935546875
9.24915;55673.49609375;-146900160;-2452.81274414063
10.03512;56478.74609375;-145620512;-2452.64306640625
10.82109;57283.80859375;-144243104;-2452.58740234375
11.60706;58088.99609375;-142767968;-2452.64453125
12.39303;58894.27734375;-141195072;-2452.6455078125
13.179;59699.65234375;-139524448;-2452.61572265625
13.96497;60505.93359375;-137756080;-2452.671875
14.75094;61310.99609375;-135889952;-2452.634765625
15.53691;62115.74609375;-133926080;-2452.63012695313
16.32288;62921.62109375;-131864472;-2452.35668945313
17.10885;63725.68359375;-129705120;-2452.33618164063
17.89482;64531.12109375;-127448024;-2452.44653320313
18.68079;65336.93359375;-125093184;-2452.37719726563
19.46676;66142.1171875;-122640600;-2452.30712890625
20.25273;66947.0546875;-120090272;-2452.24780273438
21.0387;67753.0546875;-117442208;-2452.41088867188
21.82467;68558.5546875;-114696392;-2452.12280273438
22.61064;69363.9296875;-111852832;-2452.27270507813
23.39661;70169.6796875;-108911536;-2452.22314453125
24.18258;70974.7890625;-105872488;-2452.1943359375
24.96855;71780.4140625;-102735696;-2452.30151367188
25.75452;72561.7890625;-99499344;-1471.58532714844
26.54049;73047.171875;-96160160;-606.59814453125
27.32646;73607.3203125;-92715928;1036.34521484375
28.11243;73505.1875;-89163288;2044.25915527344
28.8984;73771.765625;-85501040;3707.98754882813
29.68437;73221.78125;-81734864;3178.63916015625
30.47034;73301.578125;-77857400;5343.6015625
31.25631;72587.1796875;-73885744;1962.22412109375
32.04228;72501.0546875;-69810320;6419.6767578125
32.82825;71827.6640625;-65656340;541.6533203125
33.61422;71584.8671875;-61415908;5480.1572265625
34.40019;71133.8203125;-57120992;2298.8115234375
35.18616;70692.8203125;-52766544;3619.21313476563
35.97213;70391.875;-48389680;1359.08911132813
36.7581;70287.515625;-43992320;2389.453125
37.54407;70226.2421875;-39625316;-1036.17260742188
38.33004;70427.125;-35315392;1420.3193359375
39.11601;70742.8125;-31068124;-44.042236328125
39.90198;71506.765625;-26880142;2286.11376953125
40.68795;70888.484375;-22828282;2490.58984375
41.47392;71066.5078125;-18934860;3806.98266601563
42.25989;70191.0703125;-15250322;3834.45874023438
43.04586;69524.6875;-11809667;5248.95556640625
43.83183;68988.2578125;-8663628;2774.7978515625
44.6178;69112.4765625;-5854655;-1485.88623046875
45.40377;69449.625;-3431132.5;1894.40393066406
46.18974;69367.0625;-1446548.25;1649.73681640625
46.97571;68768.640625;56525.90625;1055.18298339844
47.76168;68203.96875;1019938.125;2294.99682617188
48.54765;68112.546875;1407322.875;-445.711181640625
49.33362;68017.859375;1397339.75;155.644744873047
50.11959;67411.171875;1318287.375;926.02685546875
50.90556;66814.4453125;1277677.25;-12.574951171875
51.69153;66821.6484375;1270490.125;-3.25136184692383E-02
52.4775;66821.6484375;1270477.875;-0.022132134065032
