Nama Bagian;Jml [n];Lebar (cm) [b];Tinggi (cm) [h];Sudut Horizontal (deg) [a];Titik berat terhadap base (cm) [Z)
Long Stiff Bottom 1 Web;2;0.9;15;0;7.5
Long Stiff Bottom 1 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 2 Web;2;0.9;15;0;7.5
Long Stiff Bottom 2 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 3 Web;2;0.9;15;0;7.5
Long Stiff Bottom 3 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 4 Web;2;0.9;15;0;7.5
Long Stiff Bottom 4 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 5 Web;2;0.9;15;0;7.5
Long Stiff Bottom 5 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 6 Web;2;0.9;15;0;7.5
Long Stiff Bottom 6 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 7 Web;2;0.9;15;0;7.5
Long Stiff Bottom 7 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 8 Web;2;0.9;15;0;7.5
Long Stiff Bottom 8 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 9 Web;2;0.9;15;0;7.5
Long Stiff Bottom 9 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 10 Web;2;0.9;15;0;7.5
Long Stiff Bottom 10 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 11 Web;2;0.9;15;0;7.5
Long Stiff Bottom 11 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 12 Web;2;0.9;15;0;7.5
Long Stiff Bottom 12 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 13 Web;2;0.9;15;0;7.5
Long Stiff Bottom 13 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 14 Web;2;0.9;15;0;7.5
Long Stiff Bottom 14 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 15 Web;2;0.9;15;0;7.5
Long Stiff Bottom 15 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 16 Web;2;0.9;15;0;7.5
Long Stiff Bottom 16 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 17 Web;2;0.9;15;0;7.5
Long Stiff Bottom 17 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 18 Web;2;0.9;15;0;7.5
Long Stiff Bottom 18 Frame;2;8.1;0.9;0;0.45
Long Stiff Bottom 19 Web;2;0.9;15;0;7.5
Long Stiff Bottom 19 Frame;2;8.1;0.9;0;0.45
Long Stiff Deck 1 Web;2;0.9;15;0;601.97362
Long Stiff Deck 1 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 2 Web;2;0.9;15;0;601.97362
Long Stiff Deck 2 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 3 Web;2;0.9;15;0;601.97362
Long Stiff Deck 3 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 4 Web;2;0.9;15;0;601.97362
Long Stiff Deck 4 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 5 Web;2;0.9;15;0;601.97362
Long Stiff Deck 5 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 6 Web;2;0.9;15;0;601.97362
Long Stiff Deck 6 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 7 Web;2;0.9;15;0;601.97362
Long Stiff Deck 7 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 8 Web;2;0.9;15;0;601.97362
Long Stiff Deck 8 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 9 Web;2;0.9;15;0;601.97362
Long Stiff Deck 9 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 10 Web;2;0.9;15;0;601.97362
Long Stiff Deck 10 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 11 Web;2;0.9;15;0;601.97362
Long Stiff Deck 11 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 12 Web;2;0.9;15;0;601.97362
Long Stiff Deck 12 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 13 Web;2;0.9;15;0;601.97362
Long Stiff Deck 13 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 14 Web;2;0.9;15;0;601.97362
Long Stiff Deck 14 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 15 Web;2;0.9;15;0;601.97362
Long Stiff Deck 15 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 16 Web;2;0.9;15;0;601.97362
Long Stiff Deck 16 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 17 Web;2;0.9;15;0;601.97362
Long Stiff Deck 17 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 18 Web;2;0.9;15;0;601.97362
Long Stiff Deck 18 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 19 Web;2;0.9;15;0;601.97362
Long Stiff Deck 19 Frame;2;8.1;0.9;0;594.92362
Long Stiff Deck 20 Web;2;0.9;15;0;601.97362
Long Stiff Deck 20 Frame;2;8.1;0.9;0;594.92362
Long Stiff Side Shell 1 Web;2;15;0.9;0;133.55
Long Stiff Side Shell 1 Frame;2;0.9;8.1;0;129.05
Long Stiff Side Shell 2 Web;2;15;0.9;0;182.55
Long Stiff Side Shell 2 Frame;2;0.9;8.1;0;178.05
Long Stiff Side Shell 3 Web;2;15;0.9;0;243.55
Long Stiff Side Shell 3 Frame;2;0.9;8.1;0;239.05
Long Stiff Side Shell 4 Web;2;15;0.9;0;304.55
Long Stiff Side Shell 4 Frame;2;0.9;8.1;0;300.05
Long Stiff Side Shell 5 Web;2;15;0.9;0;365.55
Long Stiff Side Shell 5 Frame;2;0.9;8.1;0;361.05
Long Stiff Side Shell 6 Web;2;15;0.9;0;426.55
Long Stiff Side Shell 6 Frame;2;0.9;8.1;0;422.05
Long Stiff Side Shell 7 Web;2;15;0.9;0;487.55
Long Stiff Side Shell 7 Frame;2;0.9;8.1;0;483.05
Long Stiff Side Shell 8 Web;2;15;0.9;0;548.55
Long Stiff Side Shell 8 Frame;2;0.9;8.1;0;544.05
Long Stiff Web 1 Web;2;15;0.9;0;60.55
Long Stiff Web 1 Frame;2;0.9;8.1;0;56.05
Long Stiff Web 2 Web;2;15;0.9;0;122.55
Long Stiff Web 2 Frame;2;0.9;8.1;0;118.05
Long Stiff Web 3 Web;2;15;0.9;0;183.55
Long Stiff Web 3 Frame;2;0.9;8.1;0;179.05
Long Stiff Web 4 Web;2;15;0.9;0;244.55
Long Stiff Web 4 Frame;2;0.9;8.1;0;240.05
Long Stiff Web 5 Web;2;15;0.9;0;305.55
Long Stiff Web 5 Frame;2;0.9;8.1;0;301.05
Long Stiff Web 6 Web;2;15;0.9;0;366.55
Long Stiff Web 6 Frame;2;0.9;8.1;0;362.05
Long Stiff Web 7 Web;2;15;0.9;0;427.55
Long Stiff Web 7 Frame;2;0.9;8.1;0;423.05
Long Stiff Web 8 Web;2;15;0.9;0;488.55
Long Stiff Web 8 Frame;2;0.9;8.1;0;484.05
Long Stiff Web 9 Web;2;15;0.9;0;549.55
Long Stiff Web 9 Frame;2;0.9;8.1;0;545.05
SEKAT MEMANJANG P/S Web;2;1;550;0;303.1
SEKAT MEMANJANG P/S Frame;2;12.5;550;0;303.1
Long Stiff CL 1 Web;2;15;0.9;0;60.55
Long Stiff CL 1 Frame;2;0.9;8.1;0;56.05
Long Stiff CL 2 Web;2;15;0.9;0;122.55
Long Stiff CL 2 Frame;2;0.9;8.1;0;118.05
Long Stiff CL 3 Web;2;15;0.9;0;183.55
Long Stiff CL 3 Frame;2;0.9;8.1;0;179.05
Long Stiff CL 4 Web;2;15;0.9;0;244.55
Long Stiff CL 4 Frame;2;0.9;8.1;0;240.05
Long Stiff CL 5 Web;2;15;0.9;0;305.55
Long Stiff CL 5 Frame;2;0.9;8.1;0;301.05
Long Stiff CL 6 Web;2;15;0.9;0;366.55
Long Stiff CL 6 Frame;2;0.9;8.1;0;362.05
Long Stiff CL 7 Web;2;15;0.9;0;427.55
Long Stiff CL 7 Frame;2;0.9;8.1;0;423.05
Long Stiff CL 8 Web;2;15;0.9;0;488.55
Long Stiff CL 8 Frame;2;0.9;8.1;0;484.05
Long Stiff CL 9 Web;2;15;0.9;0;549.55
Long Stiff CL 9 Frame;2;0.9;8.1;0;545.05
SEKAT MEMANJANG CL Web;1;1;550;0;303.1
SEKAT MEMANJANG CL Frame;1;12.5;550;0;303.1
Pelat Sisi;0;1.2;549.563;0;334.6285
Pelat Bottom 1;0;271.93;1.4;0;0.7
Pelat Bottom 2;0;385.883;1.4;0;0.7
Pelat Bottom 3;0;304.374;1.4;0;0.7
Pelat Bottom 4;0;349.717;1.4;0;0.7
Pelat Deck;2;1373.089;0.8;0;610
Hopper Dalam;2;12;95.1;128;85.47
Chine Luar;2;12;85.6;136;29.923
Pembujur Web;2;15;0.9;46;34.116
Pembujur Frame;2;0.9;8.1;136;36.315
